submission_id,comments,experiment_duration,experiment_end_time,experiment_start_time,german_native,group,item_answer_type,item_number,item_type,knows_logic,knows_pragmatics,options,qud,question,response,response_time,stopwatch_ms,trial_number
3276,"Ich hatte Probleme, bei unvollständigen Antworten, die jedoch mit ""nur"" o.Ä. eingeleitet wurden, zu entscheiden, ob ich sie als richtig oder falsch einstufen soll. Per se sind sie nicht falsch, sondern nur unvollständig. Je nach Ermessen habe ich deshalb manchmal ""Ja"" und manchmal ""Nein"" angekreuzt.",881626,1645362430934,1645361549308,Ja,B,false,2,fillerExhaust,Nein,Ja,Ja|Nein,,,Nein,6427,56096,1
3276,"Ich hatte Probleme, bei unvollständigen Antworten, die jedoch mit ""nur"" o.Ä. eingeleitet wurden, zu entscheiden, ob ich sie als richtig oder falsch einstufen soll. Per se sind sie nicht falsch, sondern nur unvollständig. Je nach Ermessen habe ich deshalb manchmal ""Ja"" und manchmal ""Nein"" angekreuzt.",881626,1645362430934,1645361549308,Ja,B,whenq,5,test,Nein,Ja,Ja|Nein,,,Ja,9266,72349,2
3276,"Ich hatte Probleme, bei unvollständigen Antworten, die jedoch mit ""nur"" o.Ä. eingeleitet wurden, zu entscheiden, ob ich sie als richtig oder falsch einstufen soll. Per se sind sie nicht falsch, sondern nur unvollständig. Je nach Ermessen habe ich deshalb manchmal ""Ja"" und manchmal ""Nein"" angekreuzt.",881626,1645362430934,1645361549308,Ja,B,true,2,fillerCond,Nein,Ja,Ja|Nein,,,Ja,19661,30725,3
3276,"Ich hatte Probleme, bei unvollständigen Antworten, die jedoch mit ""nur"" o.Ä. eingeleitet wurden, zu entscheiden, ob ich sie als richtig oder falsch einstufen soll. Per se sind sie nicht falsch, sondern nur unvollständig. Je nach Ermessen habe ich deshalb manchmal ""Ja"" und manchmal ""Nein"" angekreuzt.",881626,1645362430934,1645361549308,Ja,B,whenq,3,test,Nein,Ja,Ja|Nein,,,Nein,58370,33087,4
3276,"Ich hatte Probleme, bei unvollständigen Antworten, die jedoch mit ""nur"" o.Ä. eingeleitet wurden, zu entscheiden, ob ich sie als richtig oder falsch einstufen soll. Per se sind sie nicht falsch, sondern nur unvollständig. Je nach Ermessen habe ich deshalb manchmal ""Ja"" und manchmal ""Nein"" angekreuzt.",881626,1645362430934,1645361549308,Ja,B,true,1,fillerExhaust,Nein,Ja,Ja|Nein,,,Ja,31412,29337,5
3276,"Ich hatte Probleme, bei unvollständigen Antworten, die jedoch mit ""nur"" o.Ä. eingeleitet wurden, zu entscheiden, ob ich sie als richtig oder falsch einstufen soll. Per se sind sie nicht falsch, sondern nur unvollständig. Je nach Ermessen habe ich deshalb manchmal ""Ja"" und manchmal ""Nein"" angekreuzt.",881626,1645362430934,1645361549308,Ja,B,whatifp,6,test,Nein,Ja,Ja|Nein,,,Ja,6254,51217,6
3276,"Ich hatte Probleme, bei unvollständigen Antworten, die jedoch mit ""nur"" o.Ä. eingeleitet wurden, zu entscheiden, ob ich sie als richtig oder falsch einstufen soll. Per se sind sie nicht falsch, sondern nur unvollständig. Je nach Ermessen habe ich deshalb manchmal ""Ja"" und manchmal ""Nein"" angekreuzt.",881626,1645362430934,1645361549308,Ja,B,false,1,fillerCond,Nein,Ja,Ja|Nein,,,Nein,3591,52475,7
3276,"Ich hatte Probleme, bei unvollständigen Antworten, die jedoch mit ""nur"" o.Ä. eingeleitet wurden, zu entscheiden, ob ich sie als richtig oder falsch einstufen soll. Per se sind sie nicht falsch, sondern nur unvollständig. Je nach Ermessen habe ich deshalb manchmal ""Ja"" und manchmal ""Nein"" angekreuzt.",881626,1645362430934,1645361549308,Ja,B,whatifp,2,test,Nein,Ja,Ja|Nein,,,Ja,1865,20974,8
3276,"Ich hatte Probleme, bei unvollständigen Antworten, die jedoch mit ""nur"" o.Ä. eingeleitet wurden, zu entscheiden, ob ich sie als richtig oder falsch einstufen soll. Per se sind sie nicht falsch, sondern nur unvollständig. Je nach Ermessen habe ich deshalb manchmal ""Ja"" und manchmal ""Nein"" angekreuzt.",881626,1645362430934,1645361549308,Ja,B,true,3,fillerExhaust,Nein,Ja,Ja|Nein,,,Ja,4616,24366,9
3276,"Ich hatte Probleme, bei unvollständigen Antworten, die jedoch mit ""nur"" o.Ä. eingeleitet wurden, zu entscheiden, ob ich sie als richtig oder falsch einstufen soll. Per se sind sie nicht falsch, sondern nur unvollständig. Je nach Ermessen habe ich deshalb manchmal ""Ja"" und manchmal ""Nein"" angekreuzt.",881626,1645362430934,1645361549308,Ja,B,whenq,1,test,Nein,Ja,Ja|Nein,,,Nein,15485,30078,10
3276,"Ich hatte Probleme, bei unvollständigen Antworten, die jedoch mit ""nur"" o.Ä. eingeleitet wurden, zu entscheiden, ob ich sie als richtig oder falsch einstufen soll. Per se sind sie nicht falsch, sondern nur unvollständig. Je nach Ermessen habe ich deshalb manchmal ""Ja"" und manchmal ""Nein"" angekreuzt.",881626,1645362430934,1645361549308,Ja,B,false,3,fillerCond,Nein,Ja,Ja|Nein,,,Nein,1692,27691,11
3276,"Ich hatte Probleme, bei unvollständigen Antworten, die jedoch mit ""nur"" o.Ä. eingeleitet wurden, zu entscheiden, ob ich sie als richtig oder falsch einstufen soll. Per se sind sie nicht falsch, sondern nur unvollständig. Je nach Ermessen habe ich deshalb manchmal ""Ja"" und manchmal ""Nein"" angekreuzt.",881626,1645362430934,1645361549308,Ja,B,whatifp,4,test,Nein,Ja,Ja|Nein,,,Ja,1369,36715,12
3275,NA,768464,1645353525491,1645352757027,Ja,B,false,1,fillerCond,Nein,Nein,Ja|Nein,,,Ja,16983,50523,1
3275,NA,768464,1645353525491,1645352757027,Ja,B,whatifp,2,test,Nein,Nein,Ja|Nein,,,Ja,8863,71291,2
3275,NA,768464,1645353525491,1645352757027,Ja,B,true,3,fillerExhaust,Nein,Nein,Ja|Nein,,,Ja,1905,51748,3
3275,NA,768464,1645353525491,1645352757027,Ja,B,whenq,1,test,Nein,Nein,Ja|Nein,,,Nein,1019,42181,4
3275,NA,768464,1645353525491,1645352757027,Ja,B,false,3,fillerCond,Nein,Nein,Ja|Nein,,,Nein,890,28858,5
3275,NA,768464,1645353525491,1645352757027,Ja,B,whatifp,4,test,Nein,Nein,Ja|Nein,,,Ja,7240,21459,6
3275,NA,768464,1645353525491,1645352757027,Ja,B,whenq,3,test,Nein,Nein,Ja|Nein,,,Ja,1044,71282,7
3275,NA,768464,1645353525491,1645352757027,Ja,B,true,1,fillerExhaust,Nein,Nein,Ja|Nein,,,Nein,2252,33017,8
3275,NA,768464,1645353525491,1645352757027,Ja,B,whatifp,6,test,Nein,Nein,Ja|Nein,,,Ja,1491,58866,9
3275,NA,768464,1645353525491,1645352757027,Ja,B,false,2,fillerExhaust,Nein,Nein,Ja|Nein,,,Nein,1212,25354,10
3275,NA,768464,1645353525491,1645352757027,Ja,B,whenq,5,test,Nein,Nein,Ja|Nein,,,Nein,2029,57241,11
3275,NA,768464,1645353525491,1645352757027,Ja,B,true,2,fillerCond,Nein,Nein,Ja|Nein,,,Ja,14260,53961,12
3272,Oti,420926,1645082168832,1645081747906,Nein,B,whenq,1,test,NA,NA,Ja|Nein,,,Ja,7588,41765,1
3272,Oti,420926,1645082168832,1645081747906,Nein,B,false,3,fillerCond,NA,NA,Ja|Nein,,,Nein,4860,25271,2
3272,Oti,420926,1645082168832,1645081747906,Nein,B,whatifp,4,test,NA,NA,Ja|Nein,,,Nein,3734,21538,3
3272,Oti,420926,1645082168832,1645081747906,Nein,B,false,1,fillerCond,NA,NA,Ja|Nein,,,Nein,4280,25809,4
3272,Oti,420926,1645082168832,1645081747906,Nein,B,whatifp,2,test,NA,NA,Ja|Nein,,,Ja,777,19959,5
3272,Oti,420926,1645082168832,1645081747906,Nein,B,true,3,fillerExhaust,NA,NA,Ja|Nein,,,Nein,40217,2282,6
3272,Oti,420926,1645082168832,1645081747906,Nein,B,false,2,fillerExhaust,NA,NA,Ja|Nein,,,Nein,27759,3195,7
3272,Oti,420926,1645082168832,1645081747906,Nein,B,whenq,5,test,NA,NA,Ja|Nein,,,Ja,897,20904,8
3272,Oti,420926,1645082168832,1645081747906,Nein,B,true,2,fillerCond,NA,NA,Ja|Nein,,,Ja,2642,26429,9
3272,Oti,420926,1645082168832,1645081747906,Nein,B,whenq,3,test,NA,NA,Ja|Nein,,,Ja,2706,25691,10
3272,Oti,420926,1645082168832,1645081747906,Nein,B,true,1,fillerExhaust,NA,NA,Ja|Nein,,,Ja,1964,16672,11
3272,Oti,420926,1645082168832,1645081747906,Nein,B,whatifp,6,test,NA,NA,Ja|Nein,,,Ja,724,28383,12
