submission_id,comments,experiment_duration,experiment_end_time,experiment_start_time,german_native,group,item_answer_type,item_number,item_type,knows_logic,knows_pragmatics,options,qud,question,response,response_time,stopwatch_ms,trial_number
3375,"Es war von vornherein nicht klar, dass der zu lesende Text jeweils bis zum Schluss zur Verfügung ist.",1540044,1647513807267,1647512267223,Ja,B,whenq,1,test,Ja,Ja,Ja|Nein,,,Ja,73513,133952,1
3375,"Es war von vornherein nicht klar, dass der zu lesende Text jeweils bis zum Schluss zur Verfügung ist.",1540044,1647513807267,1647512267223,Ja,B,false,3,fillerCond,Ja,Ja,Ja|Nein,,,Nein,12963,88864,2
3375,"Es war von vornherein nicht klar, dass der zu lesende Text jeweils bis zum Schluss zur Verfügung ist.",1540044,1647513807267,1647512267223,Ja,B,whatifp,4,test,Ja,Ja,Ja|Nein,,,Nein,15766,62902,3
3375,"Es war von vornherein nicht klar, dass der zu lesende Text jeweils bis zum Schluss zur Verfügung ist.",1540044,1647513807267,1647512267223,Ja,B,false,1,fillerCond,Ja,Ja,Ja|Nein,,,Nein,11569,76803,4
3375,"Es war von vornherein nicht klar, dass der zu lesende Text jeweils bis zum Schluss zur Verfügung ist.",1540044,1647513807267,1647512267223,Ja,B,whatifp,2,test,Ja,Ja,Ja|Nein,,,Ja,8376,78107,5
3375,"Es war von vornherein nicht klar, dass der zu lesende Text jeweils bis zum Schluss zur Verfügung ist.",1540044,1647513807267,1647512267223,Ja,B,true,3,fillerExhaust,Ja,Ja,Ja|Nein,,,Ja,2080,92638,6
3375,"Es war von vornherein nicht klar, dass der zu lesende Text jeweils bis zum Schluss zur Verfügung ist.",1540044,1647513807267,1647512267223,Ja,B,false,2,fillerExhaust,Ja,Ja,Ja|Nein,,,Nein,29558,80079,7
3375,"Es war von vornherein nicht klar, dass der zu lesende Text jeweils bis zum Schluss zur Verfügung ist.",1540044,1647513807267,1647512267223,Ja,B,whenq,5,test,Ja,Ja,Ja|Nein,,,Nein,28003,86368,8
3375,"Es war von vornherein nicht klar, dass der zu lesende Text jeweils bis zum Schluss zur Verfügung ist.",1540044,1647513807267,1647512267223,Ja,B,true,2,fillerCond,Ja,Ja,Ja|Nein,,,Ja,11718,56388,9
3375,"Es war von vornherein nicht klar, dass der zu lesende Text jeweils bis zum Schluss zur Verfügung ist.",1540044,1647513807267,1647512267223,Ja,B,whenq,3,test,Ja,Ja,Ja|Nein,,,Nein,31848,33884,10
3375,"Es war von vornherein nicht klar, dass der zu lesende Text jeweils bis zum Schluss zur Verfügung ist.",1540044,1647513807267,1647512267223,Ja,B,true,1,fillerExhaust,Ja,Ja,Ja|Nein,,,Ja,6735,55533,11
3375,"Es war von vornherein nicht klar, dass der zu lesende Text jeweils bis zum Schluss zur Verfügung ist.",1540044,1647513807267,1647512267223,Ja,B,whatifp,6,test,Ja,Ja,Ja|Nein,,,Nein,34610,130985,12
3374,NA,742649,1647504678083,1647503935434,Ja,B,whenq,3,test,Nein,Nein,Ja|Nein,,,Ja,14212,42922,1
3374,NA,742649,1647504678083,1647503935434,Ja,B,true,1,fillerExhaust,Nein,Nein,Ja|Nein,,,Nein,1948,40321,2
3374,NA,742649,1647504678083,1647503935434,Ja,B,whatifp,6,test,Nein,Nein,Ja|Nein,,,Ja,11868,43450,3
3374,NA,742649,1647504678083,1647503935434,Ja,B,whenq,1,test,Nein,Nein,Ja|Nein,,,Nein,3021,118072,4
3374,NA,742649,1647504678083,1647503935434,Ja,B,false,3,fillerCond,Nein,Nein,Ja|Nein,,,Nein,2981,43505,5
3374,NA,742649,1647504678083,1647503935434,Ja,B,whatifp,4,test,Nein,Nein,Ja|Nein,,,Ja,9358,50345,6
3374,NA,742649,1647504678083,1647503935434,Ja,B,false,2,fillerExhaust,Nein,Nein,Ja|Nein,,,Nein,1206,64945,7
3374,NA,742649,1647504678083,1647503935434,Ja,B,whenq,5,test,Nein,Nein,Ja|Nein,,,Ja,3324,29290,8
3374,NA,742649,1647504678083,1647503935434,Ja,B,true,2,fillerCond,Nein,Nein,Ja|Nein,,,Ja,1446,64161,9
3374,NA,742649,1647504678083,1647503935434,Ja,B,false,1,fillerCond,Nein,Nein,Ja|Nein,,,Nein,1126,40473,10
3374,NA,742649,1647504678083,1647503935434,Ja,B,whatifp,2,test,Nein,Nein,Ja|Nein,,,Ja,1453,28607,11
3374,NA,742649,1647504678083,1647503935434,Ja,B,true,3,fillerExhaust,Nein,Nein,Ja|Nein,,,Nein,3615,33047,12
3373,NA,640835,1647460694324,1647460053489,Ja,A,whenq,6,test,Nein,Nein,Ja|Nein,,,Nein,24593,58528,1
3373,NA,640835,1647460694324,1647460053489,Ja,A,true,1,fillerCond,Nein,Nein,Ja|Nein,,,Ja,6505,46560,2
3373,NA,640835,1647460694324,1647460053489,Ja,A,whatifp,1,test,Nein,Nein,Ja|Nein,,,Ja,1947,47406,3
3373,NA,640835,1647460694324,1647460053489,Ja,A,false,3,fillerExhaust,Nein,Nein,Ja|Nein,,,Ja,4394,47943,4
3373,NA,640835,1647460694324,1647460053489,Ja,A,whenq,2,test,Nein,Nein,Ja|Nein,,,Ja,7873,34606,5
3373,NA,640835,1647460694324,1647460053489,Ja,A,false,2,fillerCond,Nein,Nein,Ja|Nein,,,Nein,1787,39120,6
3373,NA,640835,1647460694324,1647460053489,Ja,A,true,3,fillerCond,Nein,Nein,Ja|Nein,,,Ja,1224,41594,7
3373,NA,640835,1647460694324,1647460053489,Ja,A,whatifp,5,test,Nein,Nein,Ja|Nein,,,Ja,1349,32923,8
3373,NA,640835,1647460694324,1647460053489,Ja,A,false,1,fillerExhaust,Nein,Nein,Ja|Nein,,,Nein,1970,35050,9
3373,NA,640835,1647460694324,1647460053489,Ja,A,whatifp,3,test,Nein,Nein,Ja|Nein,,,Ja,1418,32145,10
3373,NA,640835,1647460694324,1647460053489,Ja,A,true,2,fillerExhaust,Nein,Nein,Ja|Nein,,,Ja,1601,33766,11
3373,NA,640835,1647460694324,1647460053489,Ja,A,whenq,4,test,Nein,Nein,Ja|Nein,,,Nein,1247,41707,12
3372,NA,692027,1647286963654,1647286271627,Ja,B,whenq,3,test,Nein,Nein,Ja|Nein,,,Ja,19823,58784,1
3372,NA,692027,1647286963654,1647286271627,Ja,B,true,1,fillerExhaust,Nein,Nein,Ja|Nein,,,Ja,32606,30813,2
3372,NA,692027,1647286963654,1647286271627,Ja,B,whatifp,6,test,Nein,Nein,Ja|Nein,,,Ja,2362,39961,3
3372,NA,692027,1647286963654,1647286271627,Ja,B,whenq,1,test,Nein,Nein,Ja|Nein,,,Nein,32032,49933,4
3372,NA,692027,1647286963654,1647286271627,Ja,B,false,3,fillerCond,Nein,Nein,Ja|Nein,,,Nein,5945,22577,5
3372,NA,692027,1647286963654,1647286271627,Ja,B,whatifp,4,test,Nein,Nein,Ja|Nein,,,Nein,18225,44608,6
3372,NA,692027,1647286963654,1647286271627,Ja,B,false,2,fillerExhaust,Nein,Nein,Ja|Nein,,,Nein,27178,11213,7
3372,NA,692027,1647286963654,1647286271627,Ja,B,whenq,5,test,Nein,Nein,Ja|Nein,,,Ja,64667,10185,8
3372,NA,692027,1647286963654,1647286271627,Ja,B,true,2,fillerCond,Nein,Nein,Ja|Nein,,,Ja,1459,36492,9
3372,NA,692027,1647286963654,1647286271627,Ja,B,false,1,fillerCond,Nein,Nein,Ja|Nein,,,Nein,34825,8993,10
3372,NA,692027,1647286963654,1647286271627,Ja,B,whatifp,2,test,Nein,Nein,Ja|Nein,,,Ja,24902,4837,11
3372,NA,692027,1647286963654,1647286271627,Ja,B,true,3,fillerExhaust,Nein,Nein,Ja|Nein,,,Ja,23155,4176,12
3371,NA,342972,1647260636872,1647260293900,Ja,A,whenq,6,test,Ja,Ja,Ja|Nein,,,Ja,1814,19240,1
3371,NA,342972,1647260636872,1647260293900,Ja,A,true,1,fillerCond,Ja,Ja,Ja|Nein,,,Ja,2931,20924,2
3371,NA,342972,1647260636872,1647260293900,Ja,A,whatifp,1,test,Ja,Ja,Ja|Nein,,,Ja,1481,16006,3
3371,NA,342972,1647260636872,1647260293900,Ja,A,false,3,fillerExhaust,Ja,Ja,Ja|Nein,,,Nein,6249,16089,4
3371,NA,342972,1647260636872,1647260293900,Ja,A,whenq,2,test,Ja,Ja,Ja|Nein,,,Ja,1699,12721,5
3371,NA,342972,1647260636872,1647260293900,Ja,A,false,2,fillerCond,Ja,Ja,Ja|Nein,,,Nein,5250,20790,6
3371,NA,342972,1647260636872,1647260293900,Ja,A,true,3,fillerCond,Ja,Ja,Ja|Nein,,,Ja,4316,16239,7
3371,NA,342972,1647260636872,1647260293900,Ja,A,whatifp,5,test,Ja,Ja,Ja|Nein,,,Ja,2414,12038,8
3371,NA,342972,1647260636872,1647260293900,Ja,A,false,1,fillerExhaust,Ja,Ja,Ja|Nein,,,Nein,3266,19289,9
3371,NA,342972,1647260636872,1647260293900,Ja,A,whatifp,3,test,Ja,Ja,Ja|Nein,,,Ja,2699,24491,10
3371,NA,342972,1647260636872,1647260293900,Ja,A,true,2,fillerExhaust,Ja,Ja,Ja|Nein,,,Ja,6700,27443,11
3371,NA,342972,1647260636872,1647260293900,Ja,A,whenq,4,test,Ja,Ja,Ja|Nein,,,Nein,13802,15990,12
3369,"Hallo Pia, Gebo hier:
Jetzt weiß ich ja nicht was ihr mit dem Fragebogen auswerten/untersuchen wollt. Ich fand die Anweisung/Anleitung zu unklar. Die meisten der Antworten waren zwar ""wahr"" aber nicht ""die vollständige Wahrheit"" ... und jetzt war aber nicht klar angewiesen auf welchen dieser beiden Fälle der Button ""Ja"" und ""Nein"" sich nun bezieht. Das ist ggf. ja Absicht, falls ihr Umgang zwischen Logik und Pragmatik o.ä. untersuchen wollt... ... aber ich glaube trotzdem, dass ihr bei den Fragen weniger eine entsprechende Denkweise/Verständnis untersucht und mehr wie die Person die Anweisung auffasst. ... konkret in meinem Fall: ich habe viele dieser Fragen quasi zufällig beantwortet, da ich schlichtweg nicht wusste was ihr wollt... ... oder umgekehrt gesagt, würde ich die gleichen Text/Frage nochmal lesen, ich könnte nicht mehr sagen wie ich darauf geantwortet habe... (und das liegt nicht am Verständnis des Textes ;))

Weiß nicht ob ich das hier jetzt klar formuliert habe. Sonst falls weitere Rückmeldung erwünscht, einfach nochmal bei mir melden.

Schöne Grüße Gebo",1906116,1647166639160,1647164733044,Nein,B,false,2,fillerExhaust,Ja,Nein,Ja|Nein,,,Nein,2107,33747,1
